SignalID,Timestamp,EventCode,EventParam
63082002,2023-03-13 00:03:13.0000000,8,2
63082002,2023-03-13 00:03:13.0000000,8,6
63082002,2023-03-13 00:03:18.0000000,10,2
63082002,2023-03-13 00:03:18.0000000,10,6
63082002,2023-03-13 00:03:20.0000000,1,4
63082002,2023-03-13 00:03:26.0000000,8,4
63082002,2023-03-13 00:03:30.0000000,10,4
63082002,2023-03-13 00:03:31.0000000,1,2
63082002,2023-03-13 00:03:31.0000000,1,6
63082002,2023-03-13 00:05:09.0000000,8,2
63082002,2023-03-13 00:05:09.0000000,8,6
63082002,2023-03-13 00:05:13.0000000,10,2
63082002,2023-03-13 00:05:13.0000000,10,6
63082002,2023-03-13 00:05:15.0000000,1,4
63082002,2023-03-13 00:05:22.0000000,8,4
63082002,2023-03-13 00:05:25.0000000,10,4
63082002,2023-03-13 00:05:26.0000000,1,2
63082002,2023-03-13 00:05:26.0000000,1,6
63082002,2023-03-13 00:06:20.0000000,8,2
63082002,2023-03-13 00:06:20.0000000,8,6
63082002,2023-03-13 00:06:25.0000000,10,2
63082002,2023-03-13 00:06:25.0000000,10,6
63082002,2023-03-13 00:06:27.0000000,1,4
63082002,2023-03-13 00:06:32.0000000,8,4
63082002,2023-03-13 00:06:35.0000000,10,4
63082002,2023-03-13 00:06:36.0000000,1,2
63082002,2023-03-13 00:06:36.0000000,1,6
63082002,2023-03-13 00:10:27.0000000,8,2
63082002,2023-03-13 00:10:27.0000000,8,6
63082002,2023-03-13 00:10:32.0000000,10,2
63082002,2023-03-13 00:10:32.0000000,10,6
63082002,2023-03-13 00:10:34.0000000,1,4
63082002,2023-03-13 00:10:41.0000000,8,4
63082002,2023-03-13 00:10:44.0000000,10,4
63082002,2023-03-13 00:10:45.0000000,1,2
63082002,2023-03-13 00:10:45.0000000,1,6
63082002,2023-03-13 00:12:09.0000000,8,2
63082002,2023-03-13 00:12:09.0000000,8,6
63082002,2023-03-13 00:12:14.0000000,10,2
63082002,2023-03-13 00:12:14.0000000,10,6
63082002,2023-03-13 00:12:16.0000000,1,4
63082002,2023-03-13 00:12:21.0000000,8,4
63082002,2023-03-13 00:12:24.0000000,10,4
63082002,2023-03-13 00:12:25.0000000,1,2
63082002,2023-03-13 00:12:25.0000000,1,6
63082002,2023-03-13 00:14:58.0000000,8,2
63082002,2023-03-13 00:14:58.0000000,8,6
